-----------------------------------------------																							
ace.map QC reference file generated Fri Apr 13 18:06:21 CEST 2007																							
ace.map QC version: 1.0																							
http://www.iri.cnrs.fr/seg																							
-----------------------------------------------																							

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope
HB006HK.ma0	1814.9175	0.3298	0.3654	0.6373	0.0000	0.6702	3.1070	2.4595	0.1800	62.6500	-0.6124	-1.2577	0.3350	0.2125	1.5788	-2.9280	3.7048	-0.2803	-1.0221	0.0774	0.1385	2.0531	-2.0320
HB0098O.ma0	1436.5166	0.4363	0.3586	0.4492	0.0000	0.5637	3.8219	2.1576	0.6300	65.3800	-0.5436	-1.2943	0.3350	0.3757	1.5238	-3.4726	4.5939	0.0092	-0.8914	0.0972	0.1090	2.6995	-2.4644
HB00992.ma0	1293.5604	0.3242	0.2507	0.3948	0.0000	0.6758	2.8167	2.2661	0.3600	61.3600	-0.7766	-1.4852	0.3350	0.2715	1.5494	-3.3667	3.9734	-0.0485	-1.0108	0.0302	0.1479	2.6078	-2.9150
HB00999.ma0	1152.4069	0.3847	0.2973	0.4122	0.0000	0.6153	3.4645	2.2012	0.4800	62.2200	-0.7561	-1.3708	0.3350	0.3830	1.5062	-3.2993	4.2287	-0.1599	-0.9443	0.0215	0.1540	2.3026	-2.2362
HB0099A.ma0	1493.9591	0.2761	0.3309	0.5294	0.0000	0.7239	2.4725	2.4025	0.1800	60.2300	-0.5276	-1.3301	0.3350	0.2265	1.5590	-3.3233	4.3014	-0.1248	-0.9209	0.0218	0.1599	2.5415	-2.4724
HB00A7O.ma0	1504.0080	0.5344	0.5480	0.4223	0.0000	0.4656	5.1677	2.2706	0.9900	79.5300	-0.2163	-1.5052	0.3350	0.3225	1.5807	-3.3588	4.1501	0.5177	-1.0173	0.0267	0.1364	2.9849	-1.9847
HB00A7P.ma0	1607.2441	0.2909	0.3616	0.5542	0.0000	0.7091	2.5497	2.4281	0.1800	72.6300	-0.4839	-1.1441	0.3350	0.3924	1.5255	-3.3004	4.4053	-0.2041	-0.9109	0.0250	0.1661	2.7832	-2.2879
HB00A7Q.ma0	1625.9368	0.2707	0.2900	0.5441	0.0000	0.7293	2.5670	2.3980	0.1500	61.9700	-0.5915	-1.3168	0.3350	0.0832	1.6304	-3.3526	4.3123	-0.2652	-0.8883	0.2805	-0.1282	1.4207	-1.0078
HB00A7R.ma0	1892.8116	0.3209	0.3735	0.6422	0.0000	0.6791	2.8252	2.3432	0.1500	59.9200	-0.6858	-1.0760	0.3350	0.2732	1.5652	-3.3484	4.1636	-0.1427	-0.9435	0.0286	0.2046	2.9065	-2.0773
HB00A7T.ma0	1058.0439	0.2321	0.2669	0.5041	0.0000	0.7679	2.2038	2.2896	0.1200	49.1900	-0.9840	-1.4629	0.3350	0.1295	1.5886	-3.2065	4.0180	-0.3880	-1.0050	0.0043	0.1520	2.3769	-2.2299
HB00A7U.ma0	2174.8695	0.4782	0.3595	0.5453	0.0000	0.5218	5.6952	2.3407	0.7500	62.0900	-0.3133	-0.9742	0.3350	0.1703	1.5685	-3.1179	4.2261	-0.3738	-0.9116	0.0357	0.1720	2.9393	-3.4004
HB00A7V.ma0	1552.9750	0.2766	0.3275	0.5337	0.0000	0.7234	2.5774	2.3608	0.1500	66.0600	-0.7643	-1.2380	0.3350	0.2767	1.6024	-3.5244	4.5046	-0.1193	-0.9096	0.1198	0.0830	3.0825	-2.0188
HB00A7W.ma0	2245.3087	0.3907	0.4675	0.6730	0.0000	0.6093	3.8976	2.5636	0.1500	73.4900	-0.2802	-0.9820	0.3350	0.1665	1.5924	-3.2144	4.1871	-0.1609	-0.9026	0.0834	0.1559	3.1999	-2.5212
HB00A7X.ma0	1618.7085	0.2726	0.2880	0.5529	0.0000	0.7274	2.4973	2.3731	0.1800	63.4100	-0.6882	-1.1667	0.3350	0.3192	1.5524	-3.1438	4.2282	-0.4724	-0.9254	0.0430	0.1479	2.4735	-2.4476
HB00A7Y.ma0	1108.1654	0.2569	0.2876	0.5264	0.0000	0.7431	2.2142	2.3268	0.1800	64.9400	-0.6425	-1.2819	0.3350	0.2859	1.5421	-3.2471	4.2719	-0.3096	-0.9196	0.2407	-0.0757	0.7675	-0.4975
HB00A80.ma0	1256.3306	0.2745	0.3400	0.5335	0.0000	0.7255	2.4258	2.3978	0.1800	58.7900	-0.5702	-1.4008	0.3350	0.1245	1.6060	-3.0581	4.0110	-0.2695	-0.9760	0.0142	0.1472	2.2588	-2.1110
HB00A81.ma0	1076.8033	0.2611	0.2610	0.5362	0.0000	0.7389	2.5959	2.3591	0.1200	47.9700	-0.6449	-1.2813	0.3350	0.1264	1.5492	-3.2064	4.1136	-0.4540	-0.9365	0.0629	0.1113	2.4712	-2.4443
HB00A82.ma0	1712.9355	0.4267	0.3169	0.4619	0.0000	0.5733	4.0402	2.2194	0.6000	51.8700	-0.5964	-1.2541	0.3350	0.1589	1.6116	-3.3373	4.3234	-0.1722	-0.9169	0.0260	0.1589	2.7725	-2.1719
HB00A84.ma0	1525.2676	0.2910	0.3715	0.5728	0.0000	0.7090	2.3930	2.3584	0.1800	82.3200	-0.4086	-1.2709	0.3350	0.3566	1.5587	-3.1330	4.2041	-0.2275	-0.9415	0.1263	0.0789	3.0508	-1.0387
HB00A86.ma0	1525.7281	0.2874	0.3404	0.5316	0.0000	0.7126	2.4896	2.2916	0.1800	64.1100	-0.4120	-1.3868	0.3350	0.2941	1.5379	-3.3490	4.2278	-0.0380	-0.9370	0.0244	0.1604	2.7838	-2.5818
HB00A87.ma0	1435.7251	0.3678	0.2455	0.4365	0.0000	0.6322	3.5313	2.2315	0.4200	58.1500	-0.7812	-1.2528	0.3350	0.0929	1.6199	-3.0081	3.9485	-0.5741	-0.9725	0.0416	0.1109	2.3554	-2.1106
HB00A88.ma0	886.3879	0.2143	0.2341	0.5250	0.0000	0.7857	2.0279	2.3589	0.1200	59.2500	-0.9411	-1.2717	0.3350	0.2236	1.5925	-3.0918	4.0269	-0.6176	-0.9758	0.0175	0.1489	2.2280	-2.2276
HB00A89.ma0	1654.5122	0.4217	0.3457	0.4141	0.0000	0.5783	4.0136	2.2568	0.6000	53.6000	-0.4353	-1.3842	0.3350	0.1646	1.5658	-3.2450	4.1002	0.0103	-0.9909	0.0668	0.0887	3.1631	-1.3708
HB00A8B.ma0	1560.6480	0.3015	0.3467	0.5410	0.0000	0.6985	2.7629	2.3441	0.1800	75.0100	-0.4947	-1.2150	0.3350	0.3134	1.5902	-3.1005	4.0240	-0.2013	-1.0034	0.0136	0.1678	2.5470	-1.8787
HB00A8C.ma0	1798.3554	0.3088	0.3856	0.6188	0.0000	0.6912	2.7146	2.4933	0.1800	62.2200	-0.7049	-1.0211	0.3350	0.1701	1.6327	-3.2107	4.4868	-0.4282	-0.8954	0.0133	0.1644	2.7752	-2.6367
HB00A8D.ma0	1071.7834	0.3910	0.3548	0.3608	0.0000	0.6090	3.4671	2.2596	0.5400	61.8000	-0.5201	-1.3871	0.3350	0.4419	1.4786	-3.1913	4.1749	-0.0167	-0.9817	0.0554	0.0879	2.4691	-2.1059
HB00A8E.ma0	1335.7095	0.4135	0.3102	0.4484	0.0000	0.5865	3.9032	2.2444	0.5700	52.2700	-0.7936	-1.4736	0.3350	0.2089	1.5614	-3.0128	3.8776	-0.3526	-1.0307	0.0413	0.1002	2.3101	-2.0624
HB00A8F.ma0	1410.8222	0.4096	0.3052	0.4460	0.0000	0.5904	4.0367	2.2277	0.5400	60.9400	-0.7427	-1.3646	0.3350	0.2578	1.5569	-3.2442	4.0258	-0.1322	-1.0013	0.0626	0.1239	2.6057	-2.0806
HB00A8G.ma0	969.3033	0.2755	0.2765	0.5439	0.0000	0.7245	2.6667	2.2959	0.1200	67.2500	-0.6731	-1.3369	0.3350	0.2793	1.5242	-3.0835	3.9254	-0.3997	-0.9951	0.0189	0.1903	1.9820	-1.5526
HB00A8H.ma0	2265.2017	0.4251	0.2963	0.5168	0.0000	0.5749	4.5281	2.3231	0.5700	59.8000	-0.5643	-0.9726	0.3350	0.1203	1.6176	-3.2516	4.2898	-0.4191	-0.8772	0.0672	0.1329	3.0083	-1.8354
HB00A8J.ma0	1598.6680	0.3325	0.2461	0.3870	0.0000	0.6675	3.1109	2.3127	0.3600	54.4800	-0.6199	-1.3435	0.3350	0.0704	1.6451	-3.3993	4.2150	-0.1299	-0.9655	0.0207	0.1682	2.7617	-3.1000
HB00A8K.ma0	1866.0240	0.3429	0.2740	0.3728	0.0000	0.6571	3.3020	2.3841	0.4200	62.7600	-0.6832	-1.0803	0.3350	0.0753	1.6698	-3.2924	4.3970	-0.2819	-0.9195	0.0192	0.1573	2.6888	-4.4826
HB00A8L.ma0	1606.3803	0.2767	0.2899	0.5598	0.0000	0.7233	2.6240	2.4489	0.1800	61.1000	-0.7381	-1.0988	0.3350	0.2466	1.5937	-3.3502	4.2963	-0.2857	-0.9346	0.0230	0.1749	2.8587	-2.0933
HB00AJN.ma0	1677.2925	0.3469	0.3916	0.6144	0.0000	0.6531	3.0895	2.3163	0.1800	73.6100	-0.3574	-1.2275	0.3350	0.2739	1.5680	-2.8167	3.7583	-0.3454	-1.0375	0.0327	0.1976	1.9133	-1.1900
HB00AJO.ma0	1243.2052	0.3569	0.2367	0.4350	0.0000	0.6431	3.3265	2.2099	0.3900	47.1000	-0.8794	-1.2851	0.3350	0.0878	1.5866	-2.8822	3.8912	-0.7403	-0.9666	0.0108	0.1365	2.0643	-2.1036
HB00AJP.ma0	1187.2266	0.4209	0.3681	0.4054	0.0000	0.5791	3.6732	2.1886	0.6000	63.3000	-0.3970	-1.2757	0.3350	0.0252	1.6331	-2.4476	3.5391	-0.4690	-1.1053	0.0357	0.1248	0.8843	-1.5089
HB00AJQ.ma0	1017.5500	0.4343	0.3818	0.4210	0.0000	0.5657	3.6952	2.1207	0.6300	61.1400	-0.5243	-1.4083	0.3350	0.2255	1.5804	-2.7953	3.5517	-0.0985	-1.1114	0.0843	0.0809	0.8500	-2.3471
HB00AJR.ma0	1992.7648	0.3499	0.3949	0.6673	0.0000	0.6501	2.9732	2.3271	0.1800	76.6800	-0.0850	-1.2492	0.3350	0.2207	1.5787	-2.7552	3.6481	-0.3928	-1.0129	0.0150	0.2392	1.6235	-1.0240
HB00AK5.ma0	1441.9706	0.3539	0.3827	0.7107	0.0000	0.6461	3.2172	2.4014	0.1500	69.3300	-0.1764	-1.3020	0.3350	0.3805	1.4681	-2.8074	3.7765	-0.5359	-0.9260	0.0286	0.3033	0.4986	-0.7891
HB00AK7.ma0	2068.7685	0.5341	0.4214	0.6187	0.0000	0.4659	6.9442	2.3008	0.9600	73.4300	-0.1495	-1.2028	0.3350	0.2645	1.5158	-3.1926	4.1197	-0.1487	-0.8852	0.0816	0.1676	2.6874	-2.0175
HB00AK9.ma0	1165.3608	0.4509	0.2541	0.6678	0.0000	0.5491	5.9105	2.1964	0.5700	58.9400	-0.5459	-1.4669	0.3350	0.1116	1.5139	-2.7349	2.6495	-0.5570	-1.0208	0.0509	0.1597	1.6474	-1.7723
HB00AKC.ma0	1249.3667	0.2900	0.2476	0.7072	0.0000	0.7100	3.1480	2.4363	0.0900	64.2900	-0.5777	-1.4162	0.3350	0.1787	1.5039	-2.7255	3.0523	-0.7758	-0.9947	0.0095	0.2234	1.2082	-1.1100
HB00ANY.ma0	1363.7864	0.2596	0.2895	0.5901	0.0000	0.7404	2.2199	2.2757	0.1500	64.1600	-0.9063	-1.1761	0.3350	0.1293	1.6478	-2.8788	3.9922	-0.7201	-0.9743	0.0148	0.1776	2.0353	-1.5506
HB00ANZ.ma0	1196.7308	0.4561	0.4056	0.4213	0.0000	0.5439	3.7408	2.1249	0.7200	58.9000	-0.2466	-1.3204	0.3350	0.0687	1.6116	-2.6812	3.7968	-0.3071	-1.0199	0.1036	0.0354	0.7843	-1.6329
HB00APD.ma0	1400.5001	0.3046	0.3350	0.5537	0.0000	0.6954	2.8800	2.3410	0.1800	62.0500	-0.5943	-1.3562	0.3350	0.2298	1.5713	-2.9929	3.8869	-0.3102	-1.0205	0.0497	0.1371	2.4028	-2.2215
HB00APG.ma0	1513.2000	0.3733	0.2774	0.4686	0.0000	0.6267	3.5095	2.2360	0.4200	58.1200	-0.4704	-1.3675	0.3350	0.2033	1.5281	-3.0013	3.7885	-0.3325	-0.9898	0.0458	0.1664	2.2994	-1.7803
HB00API.ma0	1527.9752	0.3537	0.2576	0.4168	0.0000	0.6463	3.1663	2.2785	0.4200	71.9900	-0.7567	-1.1597	0.3350	0.2109	1.6075	-3.0525	4.3164	-0.6226	-0.9228	0.0136	0.1482	2.2500	-2.2926
HB00APM.ma0	1131.5847	0.2567	0.2710	0.5622	0.0000	0.7433	2.4876	2.3721	0.1200	51.7000	-0.6709	-1.1148	0.3350	0.1834	1.5521	-3.0722	4.2627	-0.6691	-0.9222	0.0968	0.0970	2.5324	-2.2654
HB00APQ.ma0	1681.3053	0.4076	0.2845	0.4755	0.0000	0.5924	3.9275	2.2376	0.5400	56.5900	-0.7784	-1.2166	0.3350	0.1163	1.5993	-3.1459	4.2212	-0.4974	-0.9186	0.0900	0.0876	2.3436	-2.1393
HB00APT.ma0	1199.5833	0.2914	0.3060	0.6234	0.0000	0.7086	2.6578	2.2986	0.1200	71.8800	-0.4787	-1.4032	0.3350	0.1810	1.5596	-3.1320	3.8388	-0.3070	-0.9414	0.0167	0.2354	1.9792	-1.5531
HB00APW.ma0	1418.7542	0.3970	0.2733	0.4499	0.0000	0.6030	4.0314	2.2407	0.4800	62.7200	-0.7364	-1.1849	0.3350	0.2411	1.5835	-3.3082	4.2927	-0.3175	-0.9142	0.0320	0.1623	2.6164	-1.7487
HB00APZ.ma0	971.2668	0.2702	0.2668	0.6564	0.0000	0.7298	2.6899	2.3797	0.0900	53.4100	-0.8502	-1.1500	0.3350	0.0981	1.6179	-2.9126	3.8802	-0.8325	-0.9755	0.0934	0.1311	2.4734	-2.1004
HB00AQ0.ma0	1407.1934	0.4112	0.2847	0.4788	0.0000	0.5888	4.0907	2.2035	0.5400	54.0200	-0.7510	-1.1752	0.3350	0.2276	1.5607	-3.2403	4.2840	-0.4258	-0.9332	0.0147	0.1617	2.5912	-2.1584
HB00AQ4.ma0	1124.0432	0.3601	0.2593	0.4148	0.0000	0.6399	3.4050	2.2409	0.4200	60.5600	-0.7537	-1.3790	0.3350	0.2527	1.5596	-3.1894	4.3146	-0.4858	-0.9106	0.0790	0.0934	2.1679	-1.0648
HB00AQ6.ma0	1678.7540	0.2942	0.2139	0.3643	0.0000	0.7058	2.6983	2.3737	0.3000	53.9600	-0.6032	-1.1855	0.3350	0.0203	1.6329	-3.1674	4.3385	-0.5682	-0.8981	0.0108	0.1609	2.5819	-1.9899
HB00AQ7.ma0	1279.9244	0.2386	0.2819	0.5835	0.0000	0.7614	2.1383	2.4030	0.1500	52.8100	-0.7688	-1.1817	0.3350	0.3120	1.5257	-3.0946	4.0813	-0.4872	-0.9682	0.0155	0.1724	2.3814	-1.9718
HB00AVB.ma0	1482.0079	0.3302	0.4379	0.5072	0.0000	0.6698	2.6832	2.2852	0.2400	71.8400	-0.2670	-1.3546	0.3350	0.3265	1.5189	-3.0291	4.0322	-0.0183	-0.9714	0.1099	0.0552	2.4880	-3.2769
HB00AVC.ma0	1118.7607	0.3579	0.2409	0.4420	0.0000	0.6421	3.4122	2.2096	0.3900	57.5400	-0.7621	-1.3341	0.3350	0.1372	1.5759	-2.7872	3.8116	-0.7274	-1.0071	0.0041	0.1688	1.5571	-1.3913
HB00AVD.ma0	1523.8689	0.2641	0.2379	0.6135	0.0000	0.7359	2.6703	2.4058	0.1200	51.1700	-0.7955	-1.1018	0.3350	0.0955	1.5847	-2.8966	3.8697	-0.8494	-0.9780	0.0102	0.1730	2.1569	-2.2194
HB00AVE.ma0	1607.2094	0.2812	0.2640	0.6813	0.0000	0.7188	2.7069	2.4051	0.1200	61.4100	-0.4989	-1.0780	0.3350	0.1467	1.5444	-2.9118	3.8629	-0.8267	-0.9143	0.0234	0.1855	2.3268	-2.0002
HB00AVF.ma0	1093.4531	0.3768	0.2097	0.5444	0.0000	0.6232	3.7696	2.1721	0.3900	46.9500	-1.0580	-1.2281	0.3350	0.0317	1.6023	-2.9530	3.9251	-0.9449	-0.9312	0.0070	0.1844	1.7837	-1.7656
HB00AVH.ma0	1310.7951	0.4076	0.3014	0.4464	0.0000	0.5924	3.7032	2.2081	0.5400	53.8900	-0.5668	-1.2833	0.3350	0.1424	1.5759	-2.9285	3.9108	-0.4570	-0.9776	0.0107	0.1367	2.4119	-2.3149
HB00AVI.ma0	1493.9017	0.3238	0.4227	0.4925	0.0000	0.6762	2.5594	2.3328	0.2700	75.1100	-0.2161	-1.3666	0.3350	0.2650	1.5423	-2.9801	3.8899	0.0171	-1.0013	0.0771	0.0871	1.9656	-2.2195
HB00AVJ.ma0	1517.8001	0.4200	0.2604	0.5613	0.0000	0.5800	4.5753	2.2162	0.5100	55.1000	-0.6268	-1.2057	0.3350	0.0808	1.5855	-2.8051	3.6285	-0.7789	-0.9716	0.0283	0.1677	1.9133	-1.5938
HB00AVK.ma0	1463.1451	0.3080	0.3480	0.6407	0.0000	0.6920	2.6037	2.3119	0.1500	72.0499	-0.4061	-1.1560	0.3350	0.2384	1.5588	-2.8615	3.9013	-0.5224	-0.9726	0.0216	0.2473	1.7231	-1.0274
HB00AVL.ma0	1224.0001	0.3073	0.3894	0.5722	0.0000	0.6927	2.5413	2.2275	0.1500	59.9400	-0.2465	-1.3215	0.3350	0.1179	1.5326	-2.7021	3.8865	-0.5633	-0.9451	0.0195	0.1806	1.9390	-1.2721
HB00AVM.ma0	1313.1067	0.2541	0.2862	0.5566	0.0000	0.7459	2.3637	2.3480	0.1200	50.3500	-0.6840	-1.1454	0.3350	0.0447	1.5987	-2.9388	4.0390	-0.6819	-0.9604	0.0115	0.1538	2.4800	-2.0184
HB00AVN.ma0	1726.1000	0.3789	0.2636	0.4294	0.0000	0.6211	3.7577	2.2801	0.4500	54.6600	-0.6264	-1.2525	0.3350	0.0493	1.6058	-3.0776	4.0454	-0.4181	-0.9710	0.0214	0.1542	2.4517	-1.9027
HB00AVO.ma0	1985.3535	0.4930	0.3892	0.5175	0.0000	0.5070	4.7355	2.1969	0.8400	68.8100	-0.2619	-1.1077	0.3350	0.3294	1.5160	-2.8313	4.0337	-0.4346	-0.9858	0.0410	0.3048	-0.1932	-0.5282
HB00AVP.ma0	1316.1190	0.3036	0.3661	0.6039	0.0000	0.6964	2.4504	2.3099	0.1800	66.5000	-0.5408	-1.1033	0.3350	0.3219	1.5453	-2.9913	4.1317	-0.4180	-0.9604	0.0496	0.1477	2.5600	-1.3051
HB00AVQ.ma0	997.5215	0.3213	0.2162	0.4194	0.0000	0.6787	2.8727	2.2131	0.3300	58.5000	-0.9847	-1.1067	0.3350	0.1947	1.6097	-2.8286	3.9776	-0.8642	-0.9995	0.0056	0.1788	1.7020	-1.3234
HB00AVS.ma0	1302.0411	0.3775	0.2806	0.4386	0.0000	0.6225	3.0760	2.2044	0.4800	55.5200	-0.6032	-1.2824	0.3350	0.0109	1.6604	-3.0573	3.9783	-0.2748	-0.9658	0.0199	0.1461	2.4668	-1.9185
HB00AVT.ma0	1155.4538	0.2445	0.2545	0.5851	0.0000	0.7555	2.2085	2.3799	0.1500	59.8900	-0.8802	-1.0852	0.3350	0.2617	1.6103	-2.9800	4.1661	-0.7475	-0.9692	0.0043	0.2074	2.1088	-1.3449
HB00AVU.ma0	1690.3721	0.5298	0.5037	0.4587	0.0000	0.4702	5.0457	2.2658	0.9900	65.3800	-0.1960	-1.5025	0.3350	0.1469	1.5909	-2.9668	3.9059	0.1061	-1.0002	0.0064	0.1452	2.5555	-1.6881
HB00AVV.ma0	893.6822	0.4186	0.3447	0.4585	0.0000	0.5814	3.1133	2.0386	0.5700	77.3200	0.0474	-1.3144	0.3350	0.0373	1.5670	-2.6213	3.8244	-0.5981	-0.8746	0.0806	0.0739	2.6926	-1.7005
HB00AVW.ma0	1950.3723	0.4312	0.3388	0.4743	0.0000	0.5688	4.0876	2.2228	0.6000	68.3200	-0.3609	-1.1388	0.3350	0.2017	1.5609	-2.9838	4.0631	-0.3438	-0.9545	0.0667	0.1196	2.7776	-2.5602
HB00AVX.ma0	1146.9329	0.2409	0.2528	0.5308	0.0000	0.7591	2.1627	2.3218	0.1500	51.2700	-0.7380	-1.3740	0.3350	0.1389	1.5881	-2.9833	3.8002	-0.4675	-1.0105	0.0029	0.1679	2.0889	-1.7026
HB00AVY.ma0	1296.0564	0.2632	0.2806	0.5723	0.0000	0.7368	2.4410	2.3292	0.1200	55.6400	-0.7276	-1.1293	0.3350	0.2190	1.5552	-2.9639	4.0771	-0.6957	-0.9408	0.0079	0.2107	1.7947	-1.0407
HB00AVZ.ma0	1510.3284	0.3085	0.3727	0.5224	0.0000	0.6915	2.8476	2.2725	0.1500	54.4000	-0.4858	-1.2899	0.3350	0.2030	1.5476	-2.7364	3.6280	-0.3533	-1.0648	0.0112	0.1741	1.6252	-1.2098
HB00AW0.ma0	1346.0452	0.3254	0.4399	0.5226	0.0000	0.6746	2.4757	2.2869	0.2400	70.1400	-0.4041	-1.5094	0.3350	0.2561	1.5619	-3.0697	3.8590	0.0941	-1.0189	0.0825	0.0813	2.2184	-2.9482
HB00AW1.ma0	1333.3362	0.2657	0.2828	0.5747	0.0000	0.7343	2.5491	2.3322	0.1200	57.5400	-0.6290	-1.2442	0.3350	0.1101	1.5861	-2.8771	3.8595	-0.6501	-0.9652	0.0111	0.1821	1.7769	-1.3086
HB00AW4.ma0	2076.6890	0.2868	0.3608	0.5732	0.0000	0.7132	2.5090	2.4930	0.1800	58.5800	-0.5149	-1.1642	0.3350	0.0985	1.5904	-2.9734	4.2310	-0.5306	-0.9252	0.0456	0.1124	2.7394	-2.0595
HB00AXH.ma0	1689.1405	0.4679	0.4195	0.4537	0.0000	0.5321	4.8357	2.2398	0.7200	82.6500	-0.1238	-1.3883	0.3350	0.2450	1.5400	-2.9737	3.9007	0.0329	-1.0242	0.0052	0.1749	2.4689	-1.6583
HB00AXL.ma0	1374.1405	0.3500	0.4276	0.6759	0.0000	0.6500	2.7887	2.3634	0.1800	60.8100	-0.5890	-1.3158	0.3350	0.2157	1.5428	-2.8476	3.5345	-0.2488	-1.0311	0.0656	0.1501	2.0515	-1.9037
HB00AXM.ma0	1560.7040	0.3322	0.4228	0.5669	0.0000	0.6678	2.8777	2.3224	0.1500	63.0900	-0.4008	-1.2741	0.3350	0.2156	1.5517	-2.6518	3.5411	-0.3690	-1.0768	0.0017	0.1751	1.6580	-1.4029
HB00AXP.ma0	1705.4128	0.3207	0.3911	0.5713	0.0000	0.6793	2.7650	2.3405	0.1800	68.6100	-0.2710	-1.6973	0.3350	0.1511	1.5177	-3.2006	3.6769	0.1254	-0.9866	0.1859	-0.2322	-1.3732	-6.5006
HB00AXQ.ma0	1530.9293	0.3231	0.4089	0.5311	0.0000	0.6769	2.7735	2.3348	0.2100	62.7000	-0.3312	-1.5062	0.3350	0.2004	1.5620	-2.9867	3.6968	0.0202	-1.0435	0.0388	0.1187	2.3771	-2.4480
HB00AXU.ma0	1566.8881	0.4624	0.4095	0.4294	0.0000	0.5376	3.9585	2.2420	0.7500	70.9000	-0.3482	-1.3220	0.3350	0.2677	1.5472	-2.9916	3.9029	-0.0546	-1.0157	0.0412	0.1031	2.7582	-2.5665
HB00AXZ.ma0	1650.6476	0.4610	0.3837	0.4511	0.0000	0.5390	4.4761	2.2323	0.7200	61.8100	-0.4244	-1.3018	0.3350	0.2353	1.5526	-3.0624	4.0531	-0.1290	-0.9824	0.0135	0.1480	2.4883	-2.2583
HB00AY1.ma0	1498.0440	0.3443	0.4960	0.5044	0.0000	0.6557	2.5744	2.2788	0.2400	65.7300	-0.3771	-1.4407	0.3350	0.3498	1.5133	-3.0251	4.0377	0.0425	-1.0030	0.0130	0.1392	2.3328	-1.7528
HB00AY2.ma0	1532.5868	0.3004	0.3862	0.5355	0.0000	0.6996	2.6024	2.3609	0.1800	65.6900	-0.5398	-1.3290	0.3350	0.2879	1.5631	-3.3401	4.0958	0.0866	-1.0044	0.0241	0.1682	2.7706	-2.3255
HB00AY9.ma0	1203.9076	0.4197	0.3291	0.4270	0.0000	0.5803	4.0966	2.2145	0.5700	58.9900	-0.5741	-1.4537	0.3350	0.3451	1.5127	-3.0969	3.9004	-0.1374	-1.0347	0.0156	0.1517	2.4786	-1.7800
HB00AYC.ma0	1311.1984	0.4062	0.3026	0.4569	0.0000	0.5938	4.1426	2.2440	0.5100	48.5400	-0.6007	-1.5171	0.3350	0.0964	1.5659	-3.1935	3.9180	-0.1713	-0.9927	0.0060	0.1740	2.3683	-1.8610
HB00AYE.ma0	1500.6778	0.2939	0.4052	0.5117	0.0000	0.7061	2.4757	2.3713	0.1800	68.0900	-0.5525	-1.3365	0.3350	0.3175	1.5470	-3.0542	4.0521	-0.1838	-0.9806	0.0818	0.0681	2.4952	-1.8285
HB00AYL.ma0	1396.6555	0.3405	0.2237	0.4166	0.0000	0.6595	3.3301	2.3312	0.3600	63.9900	-0.8004	-1.2371	0.3350	0.1329	1.5970	-2.9281	3.9318	-0.7021	-0.9756	0.0209	0.1285	2.1876	-2.4620
HB00AYO.ma0	1398.1584	0.3959	0.2673	0.4528	0.0000	0.6041	4.0633	2.2517	0.4800	58.5600	-0.7015	-1.2394	0.3350	0.1988	1.5633	-3.0407	4.2731	-0.6160	-0.9368	0.0261	0.1300	2.2491	-1.8639
HB00AYP.ma0	1180.1293	0.2453	0.2812	0.5428	0.0000	0.7547	2.3787	2.4186	0.1200	51.8700	-1.0458	-1.2902	0.3350	0.1826	1.6360	-3.0977	3.9625	-0.5036	-1.0130	0.0134	0.1372	2.2307	-2.4849
HB00B0H.ma0	1484.3512	0.3844	0.4766	0.5928	0.0000	0.6156	3.2943	2.3049	0.2400	75.8500	-0.2531	-1.4325	0.3350	0.1388	1.6336	-2.9466	3.7514	0.0510	-1.0220	0.0587	0.1825	1.9015	-1.2744
HB00B0I.ma0	1663.5382	0.3572	0.4726	0.5663	0.0000	0.6428	2.8197	2.3497	0.2400	75.6100	-0.3259	-1.1542	0.3350	0.2916	1.5881	-2.7621	3.7245	-0.1416	-1.0621	0.0082	0.2390	1.3117	-0.9585
HB00B0J.ma0	1555.3880	0.5393	0.4636	0.5469	0.0000	0.4607	5.8631	2.1383	1.0200	78.2800	-0.2938	-1.1388	0.3350	0.2946	1.5633	-3.3446	4.1983	0.1392	-0.9202	0.0318	0.2239	2.6617	-1.6011
HB00B2X.ma0	1768.3437	0.3310	0.3528	0.6349	0.0000	0.6690	3.1061	2.3695	0.1500	60.4000	-0.4926	-1.1312	0.3350	0.2545	1.5526	-3.3004	4.2368	-0.2226	-0.8963	0.0439	0.1932	2.9253	-1.8302
HB00B2Z.ma0	1631.0422	0.3400	0.2214	0.4357	0.0000	0.6600	3.4257	2.3402	0.3600	60.0300	-0.9326	-1.0240	0.3350	0.2162	1.6055	-3.1671	4.6186	-0.8629	-0.8627	0.0110	0.2187	1.9688	-1.1370
HB00B34.ma0	1748.8122	0.3607	0.2269	0.4632	0.0000	0.6393	3.7421	2.3135	0.3900	44.5000	-0.9250	-1.3262	0.3350	0.0891	1.5191	-2.1431	3.5007	-1.4319	-1.0341	0.2165	-0.0809	0.6599	-0.8203
