-----------------------------------------------																							
ace.map QC reference file generated Fri Apr 13 18:06:21 CEST 2007																							
ace.map QC version: 1.0																							
http://www.iri.cnrs.fr/seg																							
-----------------------------------------------																							

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope
051204050320pr9_050228-1920.ma0	1845.3212	0.3377	0.3109	0.5510	0.0000	0.6623	4.0889	2.5555	0.2400	66.4400	-0.2703	-3.0084	0.3350	0.0427	1.5152	-3.1079	2.4516	0.7135	-1.3379	0.0125	0.1855	1.8273	-2.7725
051204050320pr9_050228-1935.ma0	1564.4144	0.4059	0.2586	0.5042	0.0000	0.5941	5.7888	2.3305	0.4200	61.6400	-0.5728	-2.2534	0.3350	0.0739	1.5534	-3.2640	3.2767	0.1778	-1.0984	0.0114	0.1985	1.9072	-2.3253
051204050320pr9_HA00658.ma0	1509.1197	0.4137	0.5119	0.4671	0.0000	0.5863	5.6427	2.3001	0.1200	67.0400	-0.0528	-3.7438	0.3350	0.0895	1.4583	-2.6698	1.9967	0.8400	-1.6525	0.0207	0.1537	1.6067	-2.6987
051204050320pr9_HA0065M.ma0	1554.4001	0.3695	0.3729	0.6203	0.0000	0.6305	4.9256	2.4395	0.1200	61.7400	-0.1229	-2.1507	0.3350	0.0197	1.5352	-2.8922	2.5337	0.2348	-1.0881	0.0103	0.1314	1.9868	-3.1703
051204050722bell.txt - Jan_29._2005_1:42:58_PM	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	-0.0868	-0.0000	0.3350	0.0000	0.0000	-6.9078	-0.0000	-0.0001	-0.9990	0.0000	-0.0000	-0.0000	-1.0000
051204050722bell.txt - Jan_29._2005_2:04:49_PM	939.9429	0.4473	0.3835	0.4002	0.0000	0.5527	4.3316	2.2057	0.6900	66.0100	-0.6074	-2.3489	0.3350	0.2750	1.5830	-2.7384	3.6410	-0.1846	-1.1151	0.0063	0.1332	1.4338	-1.3117
051204050722bell.txt - Jan_29._2005_2:19:16_PM	849.5237	0.4141	0.2738	0.4601	0.0000	0.5859	4.2976	2.2166	0.5400	43.4900	-0.7965	-1.8505	0.3350	0.1679	1.5459	-2.8213	3.6571	-0.5104	-1.0802	0.0289	0.1206	1.8406	-1.5919
051204050722bell.txt - Jan_29._2005_2:33:52_PM	811.0826	0.3520	0.4454	0.5269	0.0000	0.6480	3.2168	2.2948	0.1800	66.6700	-0.2945	-3.3515	0.3350	0.2908	1.4416	-2.7902	2.7424	0.3433	-1.2784	0.1599	0.0152	1.3897	-6.7020
051204050722bell.txt - Jan_29._2005_2:48:20_PM	747.6731	0.2934	0.3393	0.4973	0.0000	0.7066	2.6844	2.2908	0.1800	53.6800	-0.7133	-2.4666	0.3350	0.2542	1.5014	-2.6606	3.1673	-0.2474	-1.2347	0.0211	0.1323	1.7605	-1.8492
051204050722bell.txt - Jan_30._2005_2:26:48_PM	999.3676	0.4850	0.4639	0.4049	0.0000	0.5150	5.1411	2.2603	0.8100	84.7800	-0.2340	-1.6642	0.3350	0.4950	1.4731	-2.9621	3.8160	0.1228	-1.0574	0.0285	0.1018	2.2114	-1.7646
051204050722bell.txt - Jan_30._2005_2:41:29_PM	1046.5776	0.3280	0.4459	0.5010	0.0000	0.6720	2.8728	2.4551	0.2400	69.9700	-0.2912	-1.6024	0.3350	0.4353	1.5029	-3.0898	3.9937	0.0672	-1.0162	0.0134	0.1392	2.3924	-1.7335
051204050722bell.txt - Jan_30._2005_2:57:45_PM	1090.0093	0.3103	0.4074	0.5046	0.0000	0.6897	2.6614	2.4730	0.2400	60.4400	-0.6054	-1.9566	0.3350	0.3201	1.5168	-2.7530	3.4074	-0.0746	-1.1839	0.0550	0.0816	1.9629	-1.4556
051204050722bell.txt - Jan_30._2005_3:12:41_PM	1147.0000	0.3411	0.4739	0.4725	0.0000	0.6589	2.9733	2.3812	0.2400	55.7900	-0.3797	-2.2745	0.3350	0.1683	1.5582	-2.9303	3.4339	0.2588	-1.1930	0.0783	0.0629	2.8770	-0.8899
051204050722bell.txt - Jan_30._2005_3:28:32_PM	929.2641	0.3717	0.3095	0.3585	0.0000	0.6283	3.6449	2.3374	0.4800	59.1000	-0.6678	-1.9196	0.3350	0.2136	1.5732	-2.6963	3.6463	-0.3688	-1.1297	0.0156	0.1166	1.4327	-1.4823
